          country   ppp   mort  IQ  god  life  trade
          Vietnam  2700  14.90  94 81.0 74.22 158.11
            Japan 35220   3.50 105 65.0 82.51  31.45
           Sweden 38180   3.20  99 64.0 80.92  73.27
    CzechRepublic 22790   3.90  98 61.0 76.71 134.02
          Estonia 19280   5.60  99 49.0 72.91 121.08
          Denmark 37280   4.40  98 48.0 78.28  67.24
           France 34400   4.30  98 44.0 80.97  46.08
          Belgium 34760   4.60  99 43.0 80.22 187.79
          Germany 35940   4.40  99 42.0 79.69  73.20
      Netherlands 41670   5.20 100 42.0 80.23 138.68
    UnitedKingdom 36130   5.80 100 41.5 79.33  40.76
         Slovenia 26910   3.90  96 35.0 77.74 130.36
         Bulgaria 11950  11.80  93 34.0 72.68 123.00
          Hungary 17790   6.80  98 32.0 73.09 139.50
           Norway 58500   3.60 100 31.0 80.40  56.88
       SouthKorea 28120   4.84 106 30.0 78.97  92.27
          Finland 35660   3.50  99 28.0 79.26  68.85
RussianFederation 15630  14.50  97 27.0 67.58  45.47
        Australia 34040   5.70  98 25.0 81.29  38.19
           Canada 36220   5.70  99 22.0 80.57  58.27
       NewZealand 25090   5.80  99 22.0 80.12  49.99
           Latvia 16740   8.60  98 20.0 71.22  77.22
         Mongolia  3480  43.30 101 20.0 66.80 117.07
          Ukraine  7210  24.20  97 20.0 68.22  83.77
          Austria 37680   4.40 100 18.0 80.03  88.61
          Belarus 12150  13.40  97 17.0 70.20 120.02
   SlovakRepublic 21300   7.80  96 17.0 74.19 146.54
      Switzerland 46460   4.90 101 17.0 81.72  78.03
           Greece 28470   4.10  92 16.0 79.69  29.02
          Iceland 25220   2.50 101 16.0 81.19  69.24
           Israel 27450   5.00  95 15.0 80.60  63.45
            Spain 31130   4.30  98 15.0 80.87  41.79
          Armenia  6310  24.30  94 14.0 73.40  45.99
        Lithuania 18210   8.20  91 13.0 70.88 115.20
        Singapore 47940   2.70 108 13.0 80.49 361.62
            China  6020  21.90 105 12.0 73.00  59.20
       Kazakhstan  9690  31.60  94 12.0 66.41  81.74
          Uruguay 12540  14.00  96 12.0 75.86  46.24
     UnitedStates 46970   7.60  98 10.5 77.99  24.60
TrinidadandTobago 23950  35.30  85  9.0 69.74 114.72
          Albania  7950  15.18  90  8.0 76.50  53.54
         Cambodia  1820  90.90  91  7.0 59.53 104.31
          Croatia 18420   5.80  90  7.0 75.67  64.67
DominicanRepublic  7890  37.60  82  7.0 72.30  51.19
   KyrgyzRepublic  2140  38.40  90  7.0 67.70 112.66
            Italy 30250   3.70 102  6.0 81.31  47.59
          Moldova  3210  18.20  96  6.0 68.35 107.43
          Ireland 37350   4.20  92  5.0 79.39  77.34
             Laos  2040  70.20  89  5.0 64.75  44.56
       Mozambique   770 168.47  64  5.0 42.07  68.05
